Time,	LatentPB,	InfectiousPB,	InfectiousIdentifiedPB,	InfectiousUnderTreatmeanPB,	InfectiousNotCuredPB,	TotalInfectiousPB,	RecoveredLatentPB,	RelapsePB
0,	150.009995,	0.800000,	0.010000,	0.720000,	0.020000,	0.830000,	0.090000,	0.000000
1,	35.090000,	130.399994,	0.000000,	0.000000,	0.000000,	130.399994,	0.000000,	0.000000
2,	63.889999,	114.050003,	0.000000,	0.000000,	0.000000,	114.050003,	0.000000,	0.000000
3,	87.050003,	100.370003,	0.000000,	0.000000,	0.000000,	100.370003,	0.000000,	0.000000
4,	6.840000,	186.520004,	0.000000,	0.000000,	0.000000,	186.520004,	0.000000,	0.000000
5,	9.200000,	199.809998,	0.000000,	0.000000,	0.000000,	199.809998,	0.000000,	0.000000
6,	12.000000,	215.289993,	0.000000,	0.000000,	0.000000,	215.289993,	0.000000,	0.000000
7,	14.380000,	229.800003,	0.000000,	0.000000,	0.000000,	229.800003,	0.000000,	0.000000
8,	15.760000,	242.789993,	0.000000,	0.000000,	0.000000,	242.789993,	0.000000,	0.000000
9,	17.090000,	255.020004,	0.000000,	0.000000,	0.000000,	255.020004,	0.000000,	0.000000
10,	19.200001,	265.410004,	0.000000,	0.000000,	0.000000,	265.410004,	0.000000,	0.000000
11,	20.910000,	278.290009,	0.000000,	0.000000,	0.000000,	278.290009,	0.000000,	0.000000
12,	21.830000,	291.260010,	0.000000,	0.000000,	0.000000,	291.260010,	0.000000,	0.000000
13,	23.110001,	302.190002,	0.000000,	0.000000,	0.000000,	302.190002,	0.000000,	0.000000
14,	24.010000,	313.209991,	0.000000,	0.000000,	0.000000,	313.209991,	0.000000,	0.000000
15,	26.139999,	320.869995,	0.000000,	0.000000,	0.000000,	320.869995,	0.000000,	0.000000
16,	27.600000,	329.329987,	0.000000,	0.000000,	0.000000,	329.329987,	0.000000,	0.000000
17,	29.180000,	335.910004,	0.000000,	0.000000,	0.000000,	335.910004,	0.000000,	0.000000
18,	30.190001,	342.540009,	0.000000,	0.000000,	0.000000,	342.540009,	0.000000,	0.000000
19,	30.790001,	350.690002,	0.000000,	0.000000,	0.000000,	350.690002,	0.000000,	0.000000
20,	32.029999,	358.130005,	0.000000,	0.000000,	0.000000,	358.130005,	0.000000,	0.000000
21,	31.700001,	366.149994,	0.000000,	0.000000,	0.000000,	366.149994,	0.000000,	0.000000
22,	32.900002,	373.220001,	0.000000,	0.000000,	0.000000,	373.220001,	0.000000,	0.000000
23,	34.610001,	379.980011,	0.000000,	0.000000,	0.000000,	379.980011,	0.000000,	0.000000
24,	34.689999,	387.220001,	0.000000,	0.000000,	0.000000,	387.220001,	0.000000,	0.000000
25,	35.810001,	394.609985,	0.000000,	0.000000,	0.000000,	394.609985,	0.000000,	0.000000
26,	37.189999,	400.239990,	0.000000,	0.000000,	0.000000,	400.239990,	0.000000,	0.000000
27,	37.740002,	406.510010,	0.000000,	0.000000,	0.000000,	406.510010,	0.000000,	0.000000
28,	38.830002,	412.220001,	0.000000,	0.000000,	0.000000,	412.220001,	0.000000,	0.000000
29,	39.810001,	419.839996,	0.000000,	0.000000,	0.000000,	419.839996,	0.000000,	0.000000
30,	39.029999,	424.899994,	0.000000,	0.000000,	0.000000,	424.899994,	0.000000,	0.000000
31,	40.150002,	431.869995,	0.000000,	0.000000,	0.000000,	431.869995,	0.000000,	0.000000
32,	40.700001,	436.329987,	0.000000,	0.000000,	0.000000,	436.329987,	0.000000,	0.000000
33,	42.630001,	441.750000,	0.000000,	0.000000,	0.000000,	441.750000,	0.000000,	0.000000
34,	43.009998,	447.600006,	0.000000,	0.000000,	0.000000,	447.600006,	0.000000,	0.000000
35,	43.540001,	453.489990,	0.000000,	0.000000,	0.000000,	453.489990,	0.000000,	0.000000
36,	44.160000,	460.040009,	0.000000,	0.000000,	0.000000,	460.040009,	0.000000,	0.000000
37,	45.660000,	466.609985,	0.000000,	0.000000,	0.000000,	466.609985,	0.000000,	0.000000
38,	46.919998,	471.329987,	0.000000,	0.000000,	0.000000,	471.329987,	0.000000,	0.000000
39,	46.209999,	478.119995,	0.000000,	0.000000,	0.000000,	478.119995,	0.000000,	0.000000
40,	46.720001,	484.940002,	0.000000,	0.000000,	0.000000,	484.940002,	0.000000,	0.000000
41,	47.400002,	490.839996,	0.000000,	0.000000,	0.000000,	490.839996,	0.000000,	0.000000
42,	47.139999,	496.190002,	0.000000,	0.000000,	0.000000,	496.190002,	0.000000,	0.000000
43,	48.709999,	500.380005,	0.000000,	0.000000,	0.000000,	500.380005,	0.000000,	0.000000
44,	49.259998,	506.720001,	0.000000,	0.000000,	0.000000,	506.720001,	0.000000,	0.000000
45,	49.349998,	512.200012,	0.000000,	0.000000,	0.000000,	512.200012,	0.000000,	0.000000
46,	50.220001,	516.539978,	0.000000,	0.000000,	0.000000,	516.539978,	0.000000,	0.000000
47,	50.639999,	523.349976,	0.000000,	0.000000,	0.000000,	523.349976,	0.000000,	0.000000
48,	51.169998,	529.809998,	0.000000,	0.000000,	0.000000,	529.809998,	0.000000,	0.000000
49,	52.490002,	532.719971,	0.000000,	0.000000,	0.000000,	532.719971,	0.000000,	0.000000
50,	53.480000,	536.549988,	0.000000,	0.000000,	0.000000,	536.549988,	0.000000,	0.000000
51,	53.470001,	542.809998,	0.000000,	0.000000,	0.000000,	542.809998,	0.000000,	0.000000
52,	55.160000,	546.599976,	0.000000,	0.000000,	0.000000,	546.599976,	0.000000,	0.000000
